id,x,y,z,vx,vy,vz,radius,density,pressure,frame
1851,-0.269,3.858,2.652,0.072,-0.364,-1.897,0.1,997.714,-115.894,50
1850,-0.197,3.917,2.643,0.04,-0.358,-1.898,0.1,999.28,-105.03,50
1849,-0.112,3.956,2.637,0.002,-0.356,-1.891,0.1,1000.47,-96.704,50
1848,-0.019,3.97,2.634,-0.01,-0.388,-1.889,0.1,999.365,-104.44,50
1847,0.076,3.963,2.635,0.006,-0.387,-1.889,0.1,998.426,-110.968,50
1846,0.165,3.934,2.64,-0.021,-0.362,-1.897,0.1,998.944,-107.365,50
1845,0.243,3.884,2.649,-0.051,-0.343,-1.895,0.1,1000.634,-95.556,50
1844,0.306,3.814,2.66,-0.069,-0.358,-1.896,0.1,999.151,-105.929,50
1843,0.352,3.731,2.674,-0.042,-0.349,-1.891,0.1,998.857,-107.97,50
1842,0.374,3.642,2.688,-0.056,-0.313,-1.906,0.1,998.489,-110.526,50
1841,0.372,3.549,2.703,-0.071,-0.285,-1.908,0.1,1000.721,-94.939,50
1840,0.347,3.459,2.718,-0.075,-0.292,-1.906,0.1,999.307,-104.839,50
1839,0.302,3.377,2.732,-0.038,-0.298,-1.897,0.1,999.152,-105.917,50
1838,0.236,3.311,2.742,-0.032,-0.255,-1.916,0.1,997.923,-114.451,50
1837,0.155,3.263,2.75,-0.029,-0.232,-1.919,0.1,1000.46,-96.773,50
1836,0.065,3.235,2.755,-0.025,-0.255,-1.91,0.1,999.605,-102.764,50
1835,-0.026,3.308,2.773,-0.003,-0.236,-1.496,0.1,1181.613,2116.073,50
1834,-0.128,3.335,2.768,0.01,-0.22,-1.509,0.1,1182.115,2125.653,50
1833,-0.214,3.394,2.758,0.015,-0.241,-1.505,0.1,1179.252,2071.373,50
1832,-0.274,3.479,2.745,0.005,-0.238,-1.493,0.1,1182.436,2131.799,50
1831,-0.301,3.58,2.727,0.029,-0.242,-1.505,0.1,1182.043,2124.278,50
1830,-0.292,3.682,2.711,0.014,-0.257,-1.505,0.1,1178.525,2057.702,50
1829,-0.248,3.776,2.696,0.006,-0.243,-1.488,0.1,1183.516,2152.508,50
1828,-0.173,3.849,2.683,0.02,-0.271,-1.504,0.1,1180.872,2101.99,50
1827,-0.079,3.893,2.676,-0.002,-0.263,-1.502,0.1,1179.165,2069.733,50
1826,0.026,3.903,2.676,0.003,-0.248,-1.487,0.1,1183.787,2157.74,50
1825,0.128,3.874,2.679,-0.012,-0.279,-1.506,0.1,1179.685,2079.533,50
1824,0.214,3.816,2.689,-0.013,-0.251,-1.5,0.1,1180.488,2094.705,50
1823,0.274,3.731,2.704,-0.004,-0.25,-1.489,0.1,1183.076,2144.058,50
1822,0.3,3.63,2.719,-0.033,-0.254,-1.51,0.1,1179.77,2081.124,50
1821,0.292,3.528,2.736,-0.009,-0.237,-1.5,0.1,1181.101,2106.344,50
1820,0.248,3.434,2.752,-0.009,-0.243,-1.493,0.1,1181.948,2122.478,50
1819,0.173,3.361,2.763,-0.02,-0.224,-1.511,0.1,1181.034,2105.067,50
1818,0.079,3.317,2.771,0.003,-0.233,-1.502,0.1,1180.568,2096.213,50
1817,0,3.408,2.739,0.003,-0.211,-1.742,0.1,1052.111,327.027,50
1816,-0.098,3.433,2.731,0.045,-0.212,-1.801,0.1,1013.376,-2.522,50
1815,-0.171,3.505,2.724,0.065,-0.25,-1.735,0.1,1052.101,326.928,50
1814,-0.197,3.602,2.704,0.094,-0.291,-1.788,0.1,1013.462,-1.871,50
1813,-0.171,3.7,2.692,0.062,-0.323,-1.723,0.1,1052.075,326.685,50
1812,-0.099,3.77,2.676,0.049,-0.372,-1.775,0.1,1013.512,-1.491,50
1811,0,3.797,2.676,-0.003,-0.357,-1.718,0.1,1052.047,326.413,50
1810,0.098,3.77,2.676,-0.045,-0.374,-1.775,0.1,1013.483,-1.718,50
1809,0.171,3.7,2.692,-0.066,-0.318,-1.724,0.1,1052.049,326.439,50
1808,0.197,3.602,2.704,-0.094,-0.295,-1.788,0.1,1013.402,-2.328,50
1807,0.171,3.505,2.724,-0.063,-0.245,-1.736,0.1,1052.087,326.799,50
1806,0.099,3.434,2.731,-0.049,-0.214,-1.801,0.1,1013.353,-2.701,50
1805,0.093,3.657,2.706,0.112,-0.205,-1.654,0.1,1103.071,887.123,50
1804,0.093,3.551,2.724,0.113,-0.334,-1.633,0.1,1103.066,887.059,50
1803,0,3.498,2.732,0,-0.398,-1.622,0.1,1103.068,887.084,50
1802,-0.093,3.551,2.724,-0.112,-0.334,-1.633,0.1,1103.064,887.038,50
1801,-0.093,3.657,2.706,-0.112,-0.206,-1.654,0.1,1103.062,887.009,50
1800,0,3.709,2.698,0,-0.141,-1.664,0.1,1103.053,886.893,50
1799,0,3.606,2.727,0,-0.263,-1.602,0.1,1144.22,1467.827,50
1798,-0.029,3.207,2.654,-0.008,-0.416,-2.015,0.1,944.152,-431.202,50
1797,-0.122,3.229,2.649,-0.02,-0.393,-2.033,0.1,946.004,-421.969,50
1796,-0.208,3.271,2.642,-0.032,-0.388,-2.036,0.1,946.582,-419.063,50
1795,-0.282,3.33,2.634,-0.059,-0.384,-2.025,0.1,945.227,-425.854,50
1794,-0.337,3.406,2.622,-0.072,-0.375,-2.024,0.1,943.449,-434.682,50
1793,-0.368,3.496,2.605,-0.062,-0.346,-2.042,0.1,946.228,-420.841,50
1792,-0.38,3.589,2.59,-0.062,-0.334,-2.042,0.1,946.13,-421.333,50
1791,-0.369,3.682,2.576,-0.077,-0.314,-2.035,0.1,946.116,-421.404,50
1790,-0.332,3.768,2.562,-0.072,-0.301,-2.04,0.1,943.27,-435.563,50
1789,-0.272,3.844,2.548,-0.042,-0.283,-2.051,0.1,946.162,-421.174,50
1788,-0.199,3.903,2.539,-0.033,-0.281,-2.048,0.1,946.474,-419.603,50
1787,-0.114,3.943,2.533,-0.028,-0.261,-2.045,0.1,946.008,-421.948,50
1786,-0.02,3.958,2.53,-0.01,-0.262,-2.051,0.1,943.859,-432.658,50
1785,0.078,3.95,2.531,0.026,-0.265,-2.05,0.1,945.32,-425.392,50
1784,0.167,3.921,2.536,0.028,-0.278,-2.046,0.1,947.361,-415.131,50
1783,0.246,3.871,2.545,0.043,-0.273,-2.047,0.1,945.722,-423.382,50
1782,0.31,3.799,2.556,0.057,-0.293,-2.048,0.1,944.232,-430.805,50
1781,0.357,3.716,2.57,0.078,-0.314,-2.037,0.1,944.434,-429.805,50
1780,0.378,3.626,2.585,0.063,-0.326,-2.039,0.1,947.288,-415.499,50
1779,0.376,3.532,2.6,0.07,-0.337,-2.041,0.1,946.287,-420.546,50
1778,0.351,3.44,2.615,0.066,-0.364,-2.035,0.1,944.184,-431.047,50
1777,0.306,3.357,2.63,0.064,-0.387,-2.021,0.1,944.345,-430.247,50
1776,0.239,3.291,2.639,0.04,-0.382,-2.032,0.1,946.357,-420.192,50
1775,0.157,3.243,2.647,0.032,-0.391,-2.035,0.1,946.816,-417.881,50
1774,0.065,3.213,2.652,0.009,-0.408,-2.025,0.1,944.285,-430.545,50
1773,-0.027,3.292,2.685,-0.005,-0.328,-1.93,0.1,1120.886,1122.958,50
1772,-0.128,3.321,2.679,0.016,-0.29,-1.945,0.1,1118.382,1088.42,50
1771,-0.214,3.379,2.669,0.001,-0.32,-1.94,0.1,1117.276,1073.312,50
1770,-0.275,3.464,2.657,-0.012,-0.319,-1.931,0.1,1121.805,1135.741,50
